,F,F,F,F,F,F,F,F,M,M,M,M,M,M,M,M
,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus
Concelho,,,,,,,,,,,,,,,,
ARCOS-DE-VALDEVEZ,721.0,911.0,1007.0,1171.0,1263.0,1525.0,1786.0,2990.0,753.0,906.0,1019.0,1147.0,1165.0,1278.0,1437.0,1847.0
CAMINHA,575.0,750.0,926.0,1055.0,1215.0,1134.0,1101.0,1758.0,632.0,807.0,945.0,977.0,1003.0,1064.0,940.0,994.0
MELGACO,235.0,294.0,350.0,396.0,481.0,605.0,793.0,1357.0,226.0,302.0,343.0,359.0,387.0,510.0,567.0,885.0
MONCAO,624.0,732.0,948.0,1095.0,1241.0,1375.0,1409.0,2334.0,624.0,717.0,923.0,1055.0,1025.0,1176.0,1162.0,1427.0
PAREDES-DE-COURA,333.0,323.0,467.0,537.0,538.0,579.0,620.0,1080.0,364.0,374.0,501.0,554.0,576.0,508.0,518.0,663.0
PONTE-DA-BARCA,435.0,568.0,623.0,770.0,760.0,753.0,819.0,1264.0,414.0,631.0,606.0,706.0,730.0,658.0,625.0,816.0
PONTE-DE-LIMA,1970.0,2430.0,2429.0,3138.0,3115.0,2632.0,2410.0,3718.0,2026.0,2504.0,2472.0,2940.0,2924.0,2300.0,1957.0,2352.0
VALENCA,553.0,664.0,731.0,979.0,956.0,911.0,897.0,1372.0,551.0,644.0,745.0,900.0,892.0,855.0,787.0,851.0
VIANA-DO-CASTELO,3672.0,4271.0,4930.0,6451.0,6583.0,6223.0,5169.0,7262.0,3843.0,4608.0,4833.0,6018.0,5843.0,5640.0,4453.0,4617.0
VILA-NOVA-DE-CERVEIRA,361.0,414.0,454.0,659.0,597.0,595.0,600.0,975.0,423.0,442.0,507.0,649.0,602.0,545.0,498.0,590.0
AMARES,900.0,1143.0,1192.0,1441.0,1385.0,1106.0,918.0,1280.0,971.0,1139.0,1164.0,1333.0,1282.0,1128.0,835.0,911.0
BARCELOS,5697.0,7352.0,7526.0,9742.0,9363.0,7749.0,5656.0,6853.0,6098.0,7802.0,7571.0,9134.0,8960.0,7227.0,4968.0,4488.0
BRAGA,9317.0,10607.0,12448.0,15996.0,15467.0,12624.0,8479.0,10468.0,9726.0,11130.0,12001.0,14789.0,13807.0,11418.0,7654.0,6749.0
ESPOSENDE,1761.0,2087.0,2211.0,2922.0,2776.0,2236.0,1763.0,2179.0,1776.0,2152.0,2124.0,2690.0,2507.0,2036.0,1567.0,1388.0
TERRAS-DE-BOURO,248.0,336.0,372.0,389.0,461.0,421.0,388.0,696.0,270.0,344.0,342.0,353.0,452.0,408.0,382.0,501.0
VILA-VERDE,2410.0,2944.0,3009.0,3773.0,3440.0,2818.0,2414.0,3625.0,2534.0,2971.0,3049.0,3503.0,3333.0,2613.0,2128.0,2346.0
CABECEIRAS-DE-BASTO,764.0,1004.0,971.0,1125.0,1134.0,960.0,744.0,1337.0,800.0,1034.0,943.0,1067.0,1152.0,995.0,628.0,971.0
FAFE,2186.0,2893.0,3030.0,3692.0,3792.0,3482.0,2710.0,3546.0,2330.0,2917.0,2908.0,3481.0,3432.0,3184.0,2287.0,2191.0
GUIMARAES,7034.0,9066.0,9912.0,12386.0,12832.0,10916.0,7641.0,8578.0,7433.0,9838.0,9938.0,11818.0,11987.0,10233.0,6734.0,5962.0
MONDIM-DE-BASTO,303.0,457.0,411.0,453.0,524.0,433.0,395.0,635.0,302.0,461.0,370.0,428.0,510.0,449.0,358.0,458.0
POVOA-DE-LANHOSO,1049.0,1313.0,1372.0,1603.0,1710.0,1482.0,1069.0,1671.0,1104.0,1372.0,1271.0,1463.0,1507.0,1363.0,1015.0,1134.0
VIEIRA-DO-MINHO,469.0,647.0,694.0,736.0,864.0,810.0,723.0,1202.0,493.0,712.0,665.0,725.0,807.0,808.0,643.0,843.0
VILA-NOVA-DE-FAMALICAO,6397.0,7833.0,8153.0,11099.0,11027.0,9104.0,6680.0,7578.0,6810.0,8297.0,8087.0,10463.0,10522.0,8482.0,6029.0,5115.0
VIZELA,1180.0,1553.0,1629.0,1998.0,2009.0,1620.0,1083.0,1092.0,1199.0,1694.0,1698.0,1863.0,1974.0,1576.0,941.0,786.0
AROUCA,999.0,1226.0,1251.0,1466.0,1568.0,1415.0,1153.0,1635.0,985.0,1259.0,1308.0,1497.0,1506.0,1345.0,965.0,1144.0
ESPINHO,1075.0,1482.0,1580.0,1838.0,2342.0,2483.0,2100.0,2583.0,1174.0,1609.0,1691.0,1812.0,2051.0,2140.0,1779.0,1776.0
GONDOMAR,7831.0,9056.0,10032.0,13138.0,14057.0,12332.0,9459.0,10058.0,8265.0,9583.0,9884.0,12596.0,12849.0,11263.0,8637.0,6945.0
MAIA,7584.0,7292.0,8326.0,12964.0,11889.0,9553.0,7331.0,7421.0,7888.0,7651.0,7988.0,11876.0,10856.0,8625.0,6627.0,5101.0
MATOSINHOS,7979.0,8799.0,10530.0,14116.0,14323.0,13856.0,10773.0,11594.0,8283.0,9122.0,10677.0,13124.0,12633.0,12128.0,9600.0,7820.0
OLIVEIRA-DE-AZEMEIS,2841.0,3708.0,3835.0,4868.0,5366.0,4802.0,3821.0,4750.0,2829.0,3713.0,3985.0,4787.0,5173.0,4530.0,3542.0,3462.0
