,Hospitais,Hospitais,Hospitais,MedFarm,MedFarm,Ensino,Ensino,Ensino,Ensino,Ensino,Universidades,Universidades,Universidades,Abstencao,GanhoMes,GanhoMes,GanhoMes,PoderCompra,Hospedes,Hospedes
,Total,Oficial,Privado,Medico,Farmaceutico,Educação Pré-Escolar,Ensino Básico - 1º Ciclo,Ensino Básico - 2º Ciclo,Ensino Básico - 3º Ciclo,Ensino Secundário,Total,Público,Privado,Abstencao,Total,Masculino,Feminino,PoderCompra,Total,Hotéis
Concelho,,,,,,,,,,,,,,,,,,,,
ARCOS-DE-VALDEVEZ,0,0,0,476.1,837.9,10,4,3,3,2,0,0,0,56.3,882.1,960.4,817.2,67.8,42764,31291
CAMINHA,0,0,0,193.6,1058.3,11,10,2,2,4,0,0,0,46.7,880.9,942.7,822.3,78.9,64595,39579
MELGACO,0,0,0,386.6,738.0,3,2,1,1,2,1,1,0,66.2,858.1,940.7,799.3,62.0,28077,24451
MONCAO,0,0,0,279.5,851.7,6,5,2,4,2,0,0,0,57.1,860.2,901.4,818.4,70.2,21230,16258
PAREDES-DE-COURA,0,0,0,657.5,1424.6,5,1,1,1,2,0,0,0,51.4,891.1,954.3,838.4,66.4,4953,0
PONTE-DA-BARCA,0,0,0,373.2,1017.7,4,3,1,2,2,0,0,0,54.7,846.9,883.0,806.5,64.4,13649,0
PONTE-DE-LIMA,1,1,0,383.4,920.2,19,14,4,7,4,3,1,2,43.2,895.6,955.0,830.2,71.0,50180,27375
VALENCA,0,0,0,553.6,1022.0,9,7,1,1,2,1,1,0,54.4,919.2,1002.6,838.8,82.7,34687,0
VIANA-DO-CASTELO,2,1,1,171.1,741.5,44,37,10,12,11,3,3,0,45.3,1070.7,1156.5,962.7,93.1,140286,102332
VILA-NOVA-DE-CERVEIRA,0,0,0,317.6,1111.7,4,3,1,1,2,1,0,1,47.5,1066.6,1167.7,954.5,84.2,32594,0
AMARES,1,0,1,348.5,1294.4,7,6,1,2,1,1,0,1,42.8,881.7,933.5,791.9,70.9,23116,0
BARCELOS,4,1,3,352.6,930.9,81,65,11,17,11,4,4,0,36.9,911.9,979.6,844.1,78.9,32575,16710
BRAGA,6,1,5,121.1,876.4,100,75,22,26,15,5,3,2,39.4,1076.6,1154.1,971.1,107.0,368749,299988
ESPOSENDE,2,0,2,233.7,1003.4,23,19,4,6,2,0,0,0,43.9,922.5,981.4,845.5,83.8,61458,0
TERRAS-DE-BOURO,0,0,0,638.3,1276.6,7,4,2,2,1,0,0,0,44.4,870.0,1047.0,721.7,63.2,74446,36573
VILA-VERDE,1,0,1,545.2,1465.3,31,22,5,7,2,0,0,0,45.1,850.6,893.1,798.5,66.8,12812,0
CABECEIRAS-DE-BASTO,0,0,0,401.6,1305.3,10,7,2,3,2,0,0,0,48.4,771.9,790.6,748.5,65.4,3082,0
FAFE,0,0,0,293.7,1120.1,28,22,6,7,3,2,0,2,45.4,827.8,868.1,790.1,75.3,16313,0
GUIMARAES,1,1,0,245.7,1081.9,85,61,17,19,11,1,0,1,37.5,945.4,1001.7,878.7,91.4,214731,0
