Nível I,Nível II,Nível III,Distrito,Concelhos,Fonética
Portugal Continental,Região do Norte,Alto Minho,Viana do Castelo,Arcos de Valdevez,(pronuncia-se /ˈaɾkuʒ ðɨ ˌvaɫdɨˈveʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Alto Minho,Viana do Castelo,Caminha,(pronuncia-se /kɐˈmiɲɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Alto Minho,Viana do Castelo,Melgaço,(pronuncia-se /ˌmɛɫˈɣasu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Alto Minho,Viana do Castelo,Monção,(pronuncia-se /mõˈsɐ̃w/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Alto Minho,Viana do Castelo,Paredes de Coura,(pronuncia-se /pɐˈɾeðɨʃ ðɨ ˈkowɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Alto Minho,Viana do Castelo,Ponte da Barca,(pronuncia-se /ˈpõt(ɨ) ðɐ ˈβaɾkɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Alto Minho,Viana do Castelo,Ponte de Lima,(pronuncia-se /ˈpõt(ɨ) ðɨ ˈlimɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Alto Minho,Viana do Castelo,Valença,(pronuncia-se /vɐˈlẽsɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Alto Minho,Viana do Castelo,Viana do Castelo,(pronuncia-se /viˈɐnɐ ðu kɐʃˈtɛlu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Alto Minho,Viana do Castelo,Vila Nova de Cerveira,(pronuncia-se /ˈvilɐ ˈnɔvɐ ðɨ sɨɾˈvɐjɾɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Cávado,Braga,Amares,(pronuncia-se /ɐˈmaɾɨʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Cávado,Braga,Barcelos,(pronuncia-se /bɐɾˈsɛluʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Cávado,Braga,Braga,(pronuncia-se /ˈbɾaɣɐ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Cávado,Braga,Esposende,(pronuncia-se /(ɨ)ʃpɔˈzẽd(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Cávado,Braga,Terras de Bouro,(pronuncia-se /ˈtɛʁɐʒ ðɨ ˈβowɾu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Cávado,Braga,Vila Verde,(pronuncia-se /ˈvilɐ ˈveɾð(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Ave,Braga,Cabeceiras de Basto[2],(pronuncia-se /kɐβɨˈsɐjɾɐʃ ðɨ ˈβaʃtu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Ave,Braga,Fafe,(pronuncia-se /ˈfaf(ɨ)/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Ave,Braga,Guimarães,(pronuncia-se /ɡimɐˈɾɐ̃ȷ̃ʃ/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Ave,Vila Real,Mondim de Basto[2],(pronuncia-se /mõˈdĩ dɨ ˈβaʃtu/ (escutar (ajuda·info)))
Portugal Continental,Região do Norte,Ave,Braga,Póvoa de Lanhoso,(pronuncia-se /ˈpɔvuɐ ðɨ lɐˈɲozu/ (escutar (ajuda·info)))
